manager_name,total_revenue_generated,manager_ranking_by_revenue
"Johnny Castro",2772686,1
"Zachary Owens",1892293,2
"Thomas Frank",1883032,3
"Valerie Andrews",1645973,4
"Heather Ellis",1519870,5
"Laura Mcclain",1493145,6
"Keith Lee",1378200,7
"Chad Franklin",1371234,8
"Elizabeth Rodriguez",1340152,9
"Brent Perez",1283814,10
"Michael Ellison",1220219,11
"Jody Reyes",1162987,12
"Richard Robertson",1153803,13
"Derek Ward",1143835,14
"Amber Peters",1134744,15
"Joanna Howe",1117991,16
"Daniel Ortiz",1104960,17
"Rachel Robinson",1024940,18
"Robert Acevedo",1016000,19
"Mark Smith",990882,20
"Mr. William Wilson",931282,21
"Joseph Andrews",927402,22
"Tara Lawrence",879336,23
"Nathaniel Moore",834318,24
"Nicholas Wolf",826446,25
"Kenneth Hoover",820736,26
"Angie Padilla",792432,27
"Amanda Acevedo",767700,28
"Shelby Wells",767460,29
"Michelle Young",744401,30
"Mark Lloyd",744401,30
"Mindy Moyer",734952,31
"Dawn Banks",719520,32
"Thomas Morales",710868,33
"Laurie Gillespie",641088,34
"Jose Leblanc",610643,35
"Jennifer Martin",589134,36
"Kathleen Spencer",569140,37
"Toni Cole",562848,38
"Tracey Norton",515248,39
"Laura Edwards",505590,40
"Linda Hebert",503732,41
"Laura Harris",500445,42
"Raymond Terry",500445,42
"Aaron Diaz",497721,43
"Dustin Robinson",453995,44
"Danielle Brown",453995,44
"Tammy Garcia",440116,45
"Larry Martin",432425,46
"Mario Jackson",431620,47
"Evan Craig",431091,48
"Sylvia Mclean",429165,49
"Laura Smith",423735,50
"Edwin Hughes",411369,51
"Rebecca Palmer",403669,52
"Joshua Brown",394824,53
"Cathy Figueroa",382350,54
"Jeff Flores",370068,55
"Sherry Smith",361632,56
"Kristina Johnson",360900,57
"Emily Bowman",360479,58
"Dr. Sabrina Vance DVM",355152,59
"Christopher Boone",334152,60
"Renee Webb",299304,61
"Amanda Roberts",297672,62
"Rick Smith",295905,63
"Adam Mathews",294168,64
"David Carr",291870,65
"Dr. Mary Smith",288880,66
"Manuel Rodriguez",280470,67
"Zachary Conner",259114,68
"Courtney Campbell",254638,69
"James Kane",251097,70
"Katelyn Maddox",236307,71
"Andrew Willis",234415,72
"Theresa Rich MD",231310,73
"Jacob Miller",229197,74
"Andrew Bonilla",229197,74
"Aaron Cooke",218556,75
"David Michael",215064,76
"Kathleen Garcia",212774,77
"David Smith",201524,78
"Brian Mahoney",198055,79
"Stacy Mitchell",182724,80
"Raymond Small",180632,81
"Wanda Brown",170248,82
"Jeffery Ramirez",143366,83
"Amanda Garza",138004,84
"Garrett Fernandez",133940,85
"Andrea Hinton",125370,86
"Anthony Montes",123465,87
"Michelle Clark",81756,88
"Stephanie Morris",53300,89
"Melissa Wade",52246,90
"Roberto Barnes",49972,91
"Michael Hunter",42956,92
"Kari Landry",39652,93
"Meredith Kelly",36568,94
"Christopher Wilson",16323,95
"Michelle Larsen",NULL,96
