property_name,tenant_name,rent_amount,lease_start,_3leases_rolling_average
Adams-Knight,"Isaac Shelton",21999,2020-03-23,21999
Adams-Knight,"Tony Lester",29128,2021-06-21,25564
Adams-Knight,"James Rodriguez",37110,2021-12-19,29412
Adams-Knight,"Chase Bates",47306,2023-06-03,37848
Adams-Whitehead,"Patrick Wilson",46935,2021-05-12,46935
Adams-Whitehead,"Tammy Sawyer",47354,2022-05-06,47145
Adams-Whitehead,"Mr. Hector Adams",46811,2022-12-30,47033
Adams-Whitehead,"Monica Thornton",5172,2023-10-14,33112
Adams-Whitehead,"Russell Brown",49187,2024-04-23,33723
"Adams, May and Oneill","Mary Rangel",40928,2021-10-03,40928
"Adams, May and Oneill","Jennifer Guerrero",47256,2023-10-07,44092
"Adkins and Sons","Tony Butler",29747,2020-03-26,29747
"Adkins and Sons","Heather Meyer",38980,2022-01-17,34364
"Adkins and Sons","Peter Horton",26346,2022-04-01,31691
"Adkins and Sons","Cynthia Fowler",48251,2024-08-30,37859
"Adkins LLC","Mrs. Rebecca Lee DVM",28434,2020-07-19,28434
"Adkins LLC","Scott Coffey",27885,2020-08-13,28160
"Adkins LLC","Jaime Pineda",30655,2020-09-15,28991
"Adkins LLC","Stephen Anderson",26270,2021-02-03,28270
"Adkins LLC","Jill Graves",10829,2021-07-07,22585
"Adkins LLC","Dawn Contreras",17421,2024-02-03,18173
Aguilar-Thompson,"Sean Hernandez",37706,2022-12-17,37706
Aguilar-Thompson,"Michelle Price",30604,2023-02-08,34155
Aguilar-Thompson,"Lisa Terrell",12877,2023-12-21,27062
Aguilar-Thompson,"Daniel Richardson",18403,2024-01-20,20628
"Alexander, Gordon and Cox","Charles Stanley",11923,2022-10-12,11923
"Alexander, Gordon and Cox","Juan Hill",45700,2024-09-29,28812
"Allen LLC","Terry Bradley",25730,2022-11-30,25730
"Allen Ltd","Bruce Ellison",46601,2023-04-17,46601
"Allen Ltd","Anthony Ruiz",32480,2024-02-01,39541
Allen-Brown,"Margaret Shepherd",33501,2019-11-14,33501
Allen-Brown,"Allison Cox",42046,2022-02-22,37774
Alvarez-Miller,"Wendy Edwards",39611,2021-12-12,39611
Alvarez-Wilson,"Jeffrey Washington",27999,2022-07-27,27999
Alvarez-Wilson,"Steven Rodriguez",24124,2022-09-27,26062
Alvarez-Wilson,"Teresa Spencer MD",33971,2023-12-10,28698
Alvarez-Wilson,"Tina Peck",33729,2024-03-03,30608
"Andersen, Montgomery and White","Derrick Walsh",6598,2019-12-26,6598
"Andersen, Montgomery and White","Robert Schultz",5590,2021-04-12,6094
"Andersen, Montgomery and White","Mia Sheppard",40037,2021-07-26,17408
"Andersen, Montgomery and White","Patricia Fletcher",20028,2021-10-02,21885
"Andersen, Montgomery and White","Susan Diaz",12012,2023-03-24,24026
"Anderson Group","Mr. Steven Rosales MD",39078,2022-04-21,39078
"Anderson Group","Rhonda Thomas",5685,2023-08-03,22382
"Anderson Inc","Tiffany Wu DDS",42758,2021-01-28,42758
"Anderson Inc","Jeffrey Robinson",2393,2022-01-26,22576
"Anderson Inc","Regina Howard",7486,2022-04-08,17546
"Anderson Inc","Courtney Fox",37549,2022-06-23,15809
"Anderson LLC","Rebecca Fowler",6859,2020-04-17,6859
"Anderson LLC","Terri Clark",25125,2022-05-29,15992
"Anderson LLC","Adrian Young",9785,2023-07-26,13923
"Anderson, Anthony and Lewis","Sandra Bryant",41340,2019-11-24,41340
"Anderson, Anthony and Lewis","Maria Chapman",17465,2020-03-13,29403
"Anderson, Anthony and Lewis","Jeffrey Hill",34332,2020-09-01,31046
"Anderson, Anthony and Lewis","Todd Castro",5569,2021-06-18,19122
"Anderson, Harrison and Burton","Pamela Baker",2756,2021-08-11,2756
"Anderson, Harrison and Burton","Tyrone Cox",39568,2021-09-07,21162
"Anderson, Harrison and Burton","Patricia Mccormick",40099,2021-10-06,27474
"Anderson, Harrison and Burton","Jason Becker",22730,2022-12-14,34132
"Anderson, Harrison and Burton","Jonathan Barber",23861,2023-03-07,28897
"Anderson, Harrison and Burton","Andrew Henderson",25317,2023-06-25,23969
"Anderson, Patel and Stewart","Michael Ellison",20930,2021-01-31,20930
"Anderson, Patel and Stewart","Greg Crawford",11301,2021-05-20,16116
"Anderson, Patel and Stewart","Jessica Lopez",36325,2021-12-05,22852
"Anderson, Patel and Stewart","Laura Morris",13231,2023-04-22,20286
"Anderson, Patel and Stewart","Maria Stewart",24278,2023-08-31,24611
"Anderson, Patel and Stewart","Jeffery Perry",44965,2023-11-25,27491
"Anderson, Patel and Stewart","Eric Figueroa",30841,2023-12-14,33361
"Andrews, Smith and Mason","Brian Fernandez",40620,2020-01-05,40620
"Andrews, Smith and Mason","Hayley Tate",5559,2021-01-13,23090
"Andrews, Smith and Mason","Dr. Kathy Whitehead",25516,2022-05-29,23898
"Andrews, Smith and Mason","Benjamin Mata",20822,2023-08-06,17299
"Arnold, Lam and Case","Alex Small",20056,2019-12-17,20056
"Arnold, Lam and Case","Nathan Hurst",12919,2021-02-10,16488
"Arnold, Lam and Case","Tracy Hall",3451,2021-07-28,12142
"Atkinson, Fuller and Ingram","Michelle Decker",44966,2020-03-22,44966
"Atkinson, Fuller and Ingram","Jeffrey Gomez",29821,2024-02-12,37394
"Atkinson, Fuller and Ingram","Travis Vargas",1654,2024-07-06,25480
"Austin, Cross and Mclean","Mrs. Tonya Hickman DDS",37783,2020-01-16,37783
"Austin, Cross and Mclean","Kevin Conrad",7744,2020-07-31,22764
"Austin, Cross and Mclean","James Ramirez",3355,2023-02-10,16294
"Austin, Cross and Mclean","Cassie Leon",31152,2023-07-23,14084
"Austin, Miller and Thomas","Jonathan Gardner",7999,2020-04-28,7999
"Austin, Miller and Thomas","Benjamin Williams",6897,2021-10-03,7448
Baker-Sanders,"Jacob Pierce",25685,2019-12-29,25685
Baker-Sanders,"Melanie Robbins",31307,2021-09-01,28496
Baker-Sanders,"Marie Cooper",13052,2023-02-19,23348
Baker-Sanders,"Karen Mayo",3951,2023-12-13,16103
Baker-Sanders,"Sean Horn",16758,2024-09-02,11254
"Ball and Sons","Stephanie Johnson",45953,2021-07-11,45953
"Ball and Sons","Lauren Freeman",21499,2022-04-10,33726
"Ball and Sons","Rebecca Klein",19034,2022-09-07,28829
"Ball and Sons","Russell Hammond",11852,2024-04-19,17462
"Banks, Coleman and Joyce","Gary Johnson",19310,2021-03-09,19310
"Banks, Coleman and Joyce","Corey Foster",1361,2023-08-28,10336
"Barr and Sons","April Perez",15513,2020-08-18,15513
"Barr and Sons","Linda Johnson",25528,2021-11-16,20521
"Barr and Sons","James Jones",31444,2021-12-07,24162
"Barr and Sons","Heather Perez",9545,2022-12-12,22172
Barron-Mcgee,"Cassie Perez",25397,2021-08-05,25397
Barron-Mcgee,"Katherine Marquez",46195,2022-11-13,35796
Barron-Mcgee,"Casey Preston",32188,2023-11-30,34593
"Barron, Thomas and Arias","Jeffrey Gill",6795,2020-05-14,6795
"Barron, Thomas and Arias","Erik Carey",12955,2020-10-22,9875
"Barron, Thomas and Arias","Carlos Martin",37596,2022-03-09,19115
"Barron, Thomas and Arias","Victoria Kaiser",4871,2023-07-26,18474
"Beltran PLC","Ellen Ford",4693,2022-11-16,4693
Bennett-Benson,"Cynthia Mckinney",28482,2019-11-02,28482
Bennett-Benson,"Nicole Wallace",27875,2021-01-01,28179
Bennett-Benson,"Kendra Patrick",43508,2022-01-18,33288
Bennett-Benson,"Jason Mitchell",20233,2022-02-09,30539
Bennett-Benson,"Mary Schwartz",41585,2023-08-04,35109
"Bennett, Hess and Hernandez","John Benson",20909,2020-01-03,20909
"Bennett, Hess and Hernandez","Matthew Barnett",15916,2021-05-18,18413
"Bennett, Hess and Hernandez","Emily Mendez",13371,2022-06-16,16732
"Bentley, Barnes and Martin","Diana Vargas",31910,2021-12-25,31910
"Bentley, Barnes and Martin","Mr. Bryan Hickman DDS",18471,2023-09-05,25191
"Best, Brown and Anderson","Sherri Lewis",28217,2019-11-11,28217
"Best, Brown and Anderson","Daniel Pacheco",46637,2023-08-11,37427
"Best, Willis and Brandt","Aaron Pratt",32877,2021-06-26,32877
"Best, Willis and Brandt","Jeffrey Glenn",30778,2024-02-17,31828
"Blevins PLC","Mary Ford",38898,2020-10-25,38898
"Blevins PLC","Jamie Landry",4200,2021-04-21,21549
"Blevins PLC","Sydney Harris",27982,2022-09-13,23693
"Blevins PLC","Wesley Stewart",11552,2023-09-24,14578
Blevins-Nguyen,"Christopher Villegas",4648,2022-12-14,4648
"Bonilla, White and Hall","Tom Rose",36110,2020-10-23,36110
"Bowen, Garza and Scott","Michael Howard",22501,2021-06-13,22501
"Bowen, Garza and Scott","Donald Grimes",7526,2023-01-13,15014
"Boyd Ltd","Nicole Frazier",32408,2020-02-21,32408
"Boyd Ltd","Michelle Campbell",30211,2020-06-24,31310
