manager_id,manager_name,contact_info,assigned_property
M001,Jeff Flores,627-381-4433x5459,P0390
M002,Theresa Rich MD,001-222-467-2393x90774,P0280
M003,Laura Smith,1419842347,P0076
M004,Garrett Fernandez,145.426.0157,P0452
M005,Edwin Hughes,400.454.6357x09085,P0236
M006,Keith Lee,758-436-0896x3811,P0314
M007,Kathleen Spencer,(167)732-3106,P0198
M008,Laura Harris,020-979-4758x7311,P0274
M009,Sylvia Mclean,(991)614-0451,P0361
M010,Dr. Sabrina Vance DVM,+1-554-385-5462x3361,P0291
M011,Rebecca Palmer,+1-279-118-1908x15948,P0293
M012,Rick Smith,650.870.4771x7076,P0145
M013,Linda Hebert,+1-932-990-7289x315,P0398
M014,Dr. Mary Smith,+1-414-472-2056x436,P0455
M015,Christopher Wilson,687.522.5486x0606,P0338
M016,Anthony Montes,156-159-1818x502,P0408
M017,Joanna Howe,112-395-2608,P0425
M018,Kathleen Garcia,799-343-2851,P0258
M019,Thomas Morales,(106)263-1604x40685,P0488
M020,Kari Landry,(982)391-0417x264,P0400
M021,Andrew Bonilla,+1-000-734-1212x1328,P0193
M022,James Kane,105.521.1711,P0464
M023,Toni Cole,599-034-6660x32571,P0088
M024,Zachary Owens,825.690.4646,P0122
M025,Thomas Frank,388-514-4932x96225,P0232
M026,Chad Franklin,2926048392,P0189
M027,Wanda Brown,171.325.7500x0000,P0380
M028,Kenneth Hoover,522-113-6573,P0100
M029,Daniel Ortiz,499.180.0011x61358,P0187
M030,Dustin Robinson,(429)869-5368,P0079
M031,Melissa Wade,132-710-0252x6437,P0138
M032,Mark Lloyd,(141)274-4690x1479,P0289
M033,Raymond Small,+1-107-957-7841,P0324
M034,Jody Reyes,532-919-6294x331,P0046
M035,Tracey Norton,865.507.0802,P0077
M036,Michelle Young,001-588-086-2557x378,P0289
M037,Larry Martin,(915)835-8649x98888,P0120
M038,Sherry Smith,(274)461-0451x756,P0064
M039,Nathaniel Moore,(203)882-8394x7411,P0026
M040,Rachel Robinson,+1-259-387-5593x103,P0249
M041,Tara Lawrence,2401610917,P0117
M042,Kristina Johnson,001-398-451-9508x9478,P0270
M043,Stacy Mitchell,001-220-003-2397,P0404
M044,Zachary Conner,(110)418-0700x76779,P0146
M045,Andrea Hinton,263.548.5415x27736,P0327
M046,Laurie Gillespie,(254)794-9233x821,P0155
M047,David Smith,752-823-8213x42574,P0357
M048,Manuel Rodriguez,396.686.2259x88076,P0035
M049,Raymond Terry,019.174.1217,P0274
M050,Cathy Figueroa,(809)883-2424,P0015
M051,Katelyn Maddox,793.729.9983x0018,P0278
M052,Roberto Barnes,+1-353-666-2242x537,P0277
M053,Mr. William Wilson,103.261.0347,P0164
M054,Renee Webb,(705)867-5254x078,P0295
M055,Courtney Campbell,630-689-4472x172,P0287
M056,Jacob Miller,+1-224-807-4686,P0193
M057,Angie Padilla,613-172-0907x0695,P0182
M058,Amanda Acevedo,573-954-5921,P0413
M059,Brent Perez,+1-097-537-9392x438,P0228
M060,Evan Craig,(010)034-7483x373,P0369
M061,Valerie Andrews,+1-037-309-9724,P0043
M062,Tammy Garcia,073.837.9445x979,P0339
M063,Johnny Castro,678-418-3132x96520,P0445
M064,Aaron Diaz,001-129-268-5815x312,P0427
M065,Dawn Banks,(312)533-0577x59043,P0207
M066,Shelby Wells,553.971.8291x26902,P0395
M067,Mark Smith,(083)955-8511,P0168
M068,Mario Jackson,586-362-0589x557,P0243
M069,Danielle Brown,(822)042-5409x0506,P0079
M070,Laura Mcclain,(943)670-4363,P0340
M071,Amber Peters,(183)510-0827x7759,P0067
M072,Nicholas Wolf,152-320-1206,P0054
M073,Aaron Cooke,1404272904,P0366
M074,Christopher Boone,(688)547-8281x644,P0201
M075,Jose Leblanc,970-650-4022x62524,P0235
M076,Richard Robertson,156-655-3764x125,P0468
M077,Joshua Brown,567.018.1656,P0007
M078,Emily Bowman,262-429-4205,P0134
M079,Stephanie Morris,+1-910-373-2493x702,P0342
M080,Elizabeth Rodriguez,763-061-0955x4666,P0170
M081,Jennifer Martin,0922405580,P0116
M082,Derek Ward,(078)326-2210,P0469
M083,Amanda Roberts,501-421-8525x84848,P0307
M084,Michelle Larsen,967-451-9530x3088,P0376
M085,Brian Mahoney,379.904.9246,P0051
M086,Michael Ellison,+1-992-452-3661x598,P0218
M087,David Carr,001-776-237-4446x06905,P0267
M088,Andrew Willis,+1-569-423-5370x3824,P0219
M089,Joseph Andrews,242.628.6881x39507,P0282
M090,Meredith Kelly,432.640.7583,P0436
M091,Robert Acevedo,(868)335-8799x686,P0349
M092,Jeffery Ramirez,+1-980-058-0837x154,P0030
M093,Michelle Clark,(585)345-7767x534,P0165
M094,Adam Mathews,9128483237,P0320
M095,Mindy Moyer,(514)830-9960x6533,P0360
M096,David Michael,(108)125-3133,P0038
M097,Laura Edwards,001-526-090-1509x1482,P0217
M098,Michael Hunter,001-888-744-0503,P0060
M099,Amanda Garza,959.026.5225,P0053
M100,Heather Ellis,380.400.8137,P0479
