lease_id,property_id,tenant_name,lease_start,lease_end,rent_amount
L00001,P0310,Cindy Garner,2022-09-21,2025-07-18,23503
L00002,P0477,Deborah Roberts,2021-07-23,2029-08-13,30735
L00003,P0454,Robert Richard,2023-03-28,2027-05-25,18465
L00004,P0044,Jennifer Anthony,2023-04-20,2027-11-30,22668
L00005,P0413,Julie Rodriguez,2022-05-16,2029-08-08,41524
L00006,P0015,Audrey Miranda,2023-08-09,2029-06-08,19397
L00007,P0026,Cameron Montgomery,2020-09-12,2029-01-24,24167
L00008,P0228,Monica Simpson,2021-07-14,2025-08-06,22614
L00009,P0374,William Reyes,2020-05-22,2027-06-17,45148
L00010,P0199,Robert Doyle,2020-06-13,2026-10-16,30590
L00011,P0252,Lisa Kidd,2021-01-01,2028-04-13,3392
L00012,P0206,Jackie Thompson,2024-09-27,2025-12-15,36143
L00013,P0144,Kristine Roach,2023-04-25,2029-04-13,7027
L00014,P0067,Michelle Thompson,2022-09-11,2025-01-19,32779
L00015,P0014,Debra Tran,2021-01-01,2026-12-17,28031
L00016,P0224,Joshua Sanford,2024-02-22,2028-06-09,38030
L00017,P0393,Andrew Jackson,2020-08-23,2028-03-06,31264
L00018,P0410,Jennifer Jenkins,2022-11-12,2028-12-03,1695
L00019,P0356,Kyle Trevino,2021-09-09,2029-03-12,35993
L00020,P0381,Kevin Cook,2024-04-22,2025-09-30,39280
L00021,P0028,Sandra Thornton,2024-09-19,2028-10-18,22253
L00022,P0438,Carol Henderson,2020-10-06,2025-07-05,46717
L00023,P0083,Jerry Mitchell,2020-07-02,2026-04-29,11998
L00024,P0228,Jessica Stein,2022-08-16,2027-08-25,11193
L00025,P0078,Denise Nelson,2024-07-04,2029-01-22,12589
L00026,P0190,Jared Webb,2019-11-16,2026-09-03,1693
L00027,P0212,Kelly Williamson,2021-08-03,2025-01-25,14083
L00028,P0305,Patricia Mcgee,2021-09-30,2027-01-10,27748
L00029,P0189,Daniel Richardson,2023-11-08,2026-11-25,20768
L00030,P0336,Monica Elliott,2019-11-22,2027-12-12,47933
L00031,P0395,Gail Ellis,2022-01-31,2028-09-04,24015
L00032,P0202,Brenda Haley,2020-11-23,2027-11-04,27109
L00033,P0450,Tom Howard,2022-12-10,2028-09-13,21426
L00034,P0365,Mary Mcdowell,2021-01-16,2028-09-01,45681
L00035,P0017,Yvette Lee,2024-01-25,2029-10-12,6240
L00036,P0205,David Howard,2021-04-20,2025-10-23,18389
L00037,P0078,Robert Obrien,2020-11-17,2028-07-08,48988
L00038,P0078,Kelli Wu,2024-02-16,2026-09-11,8121
L00039,P0339,David Richards,2024-07-22,2029-09-02,49398
L00040,P0105,Michael Miller,2024-03-15,2027-10-21,11955
L00041,P0331,Gregory Meza,2020-09-19,2027-11-07,28392
L00042,P0396,Pamela Baker,2021-08-11,2025-06-14,2756
L00043,P0268,Dwayne Thompson,2023-11-15,2027-08-15,43260
L00044,P0052,Austin Lopez,2024-10-25,2028-07-20,48430
L00045,P0205,Jason Lopez,2020-05-24,2026-09-16,40340
L00046,P0369,Jessica Smith,2022-06-13,2028-01-27,18435
L00047,P0458,Laurie Morgan,2021-02-21,2025-03-20,35028
L00048,P0294,Carol Bruce,2019-12-28,2028-06-29,17552
L00049,P0190,Wendy Gibbs,2020-08-28,2027-09-12,4678
L00050,P0076,Jonathan Fowler,2023-06-27,2026-02-13,41170
L00051,P0482,Rebekah Maynard,2020-05-16,2027-10-24,41873
L00052,P0095,Barry Jackson,2024-08-02,2028-04-01,32082
L00053,P0196,Jaime Pineda,2020-09-15,2028-12-12,30655
L00054,P0283,Mr. Ryan Brown,2022-03-21,2027-12-09,13645
L00055,P0406,Jeffrey Gill,2020-05-14,2027-04-14,6795
L00056,P0139,Jane Reynolds,2024-09-12,2026-02-02,39323
L00057,P0467,Jessica Robbins,2020-04-11,2029-06-05,8268
L00058,P0198,John Goodman,2020-02-21,2025-07-04,46011
L00059,P0060,Kimberly Roberts,2021-03-31,2028-07-22,24353
L00060,P0033,Kristin Oneal,2020-12-14,2028-04-05,48049
L00061,P0186,Leslie Neal,2022-08-29,2024-11-14,14391
L00062,P0189,Shelby Lynch,2023-12-25,2028-06-21,47248
L00063,P0385,Mr. Jeffrey Hartman,2020-12-16,2026-09-28,33110
L00064,P0003,Stephanie Gordon,2019-12-28,2025-04-18,42103
L00065,P0222,Marilyn Snyder,2022-03-26,2029-01-31,1911
L00066,P0160,Brandy Salazar,2021-06-24,2029-01-17,30115
L00067,P0218,Michele Wright,2022-09-18,2028-04-14,28502
L00068,P0415,Ronald Bryant,2022-04-20,2027-09-05,34194
L00069,P0387,Gregory Davis,2023-10-05,2025-04-27,39932
L00070,P0225,Christian Johnson,2024-01-21,2028-11-23,7571
L00071,P0066,Dr. David Thompson,2024-02-17,2026-08-24,17422
L00072,P0234,Casey Dudley,2022-08-29,2026-02-21,30326
L00073,P0492,Cody Davis,2021-07-22,2029-03-16,15287
L00074,P0386,Laura Mcclure,2019-12-19,2026-05-06,2516
L00075,P0131,Sean Oliver,2019-11-22,2025-08-25,27361
L00076,P0434,Cassandra Riley,2021-09-27,2025-05-01,34386
L00077,P0166,Cheryl Andrade,2019-12-22,2025-04-13,35185
L00078,P0301,Kim Sparks,2023-09-26,2027-09-26,31835
L00079,P0089,Travis Vargas,2024-07-06,2028-10-25,1654
L00080,P0232,Christopher Jackson,2024-05-20,2026-03-15,36789
L00081,P0140,Steven David,2020-09-25,2027-01-30,16371
L00082,P0445,Linda Moore,2020-09-09,2025-01-05,35469
L00083,P0283,Matthew Whitney,2023-11-20,2028-08-14,11501
L00084,P0304,Melissa Wiley,2020-03-20,2026-04-19,33183
L00085,P0363,Claudia Watson,2021-12-20,2026-09-17,30900
L00086,P0023,Stephanie Meyer,2023-02-01,2025-06-15,33784
L00087,P0428,Vincent Martin,2021-09-03,2026-10-19,3461
L00088,P0107,Shelby Smith,2022-10-21,2024-11-04,34951
L00089,P0496,Zachary Jordan,2022-05-26,2029-01-28,35882
L00090,P0038,Christopher Webb,2023-10-23,2029-08-02,1952
L00091,P0482,Donna Peterson,2024-01-29,2027-11-10,36958
L00092,P0371,Rebecca Campbell,2021-08-19,2025-09-24,47338
L00093,P0414,Brenda Vargas,2021-10-14,2026-12-19,40263
L00094,P0420,Katherine Torres,2021-11-09,2027-12-26,43078
L00095,P0124,Traci Ramirez,2022-04-05,2029-02-01,23323
L00096,P0210,Matthew Gay,2023-02-20,2026-03-25,44098
L00097,P0052,Sheila Harris,2023-04-08,2029-10-25,25383
L00098,P0237,Angela Braun,2020-08-15,2028-04-13,32811
L00099,P0213,John Barnes,2024-10-07,2025-07-11,2086
L00100,P0186,Michael Phillips,2020-11-26,2026-08-15,26063
L00101,P0437,Tracy Cook,2022-02-06,2028-11-17,43436
L00102,P0010,Debra Kennedy,2024-08-25,2028-12-02,44618
L00103,P0441,Robert David,2023-07-18,2029-08-13,17956
L00104,P0034,Thomas Bates,2023-03-29,2026-01-27,17261
L00105,P0392,Kathryn Duncan,2021-03-04,2025-10-18,22352
L00106,P0191,Scott Patton,2022-05-12,2027-09-28,21755
L00107,P0436,Christina Gates,2023-04-21,2028-07-27,5224
L00108,P0497,Jason Potter,2021-08-13,2025-01-01,49747
L00109,P0079,Ashley Sanchez,2020-05-19,2025-09-24,27022
L00110,P0274,Nicole Kramer,2023-01-16,2027-06-17,7759
L00111,P0244,Edward Wilson,2023-07-15,2027-06-20,46397
L00112,P0403,Michael Mcdaniel,2021-10-30,2027-08-29,48025
L00113,P0214,Brianna White,2021-11-05,2026-09-27,40851
L00114,P0004,Matthew Barnett,2021-05-18,2029-08-08,15916
L00115,P0079,John Conrad,2020-06-15,2027-05-05,47124
L00116,P0050,Patricia Watson,2024-08-21,2027-01-18,48809
L00117,P0055,Jerry Horn,2020-02-28,2028-04-13,38711
L00118,P0146,Michael Houston,2020-12-17,2029-08-12,36927
L00119,P0267,Lisa Russell,2024-05-08,2025-04-28,31721
L00120,P0135,Steven Sims,2024-08-05,2027-11-03,40920
L00121,P0225,Jorge Tran,2023-03-13,2026-09-28,31438
L00122,P0426,Heidi Conley,2020-01-04,2027-09-15,17764
L00123,P0125,Michelle Hopkins,2021-02-15,2028-02-19,25306
L00124,P0335,Tracey Miller,2020-03-16,2026-10-31,9791
L00125,P0355,Lauren Dean,2022-06-10,2028-07-22,32661
L00126,P0039,Karen Robinson,2020-09-13,2028-11-30,8480
L00127,P0449,Abigail Williams,2023-02-23,2027-11-15,6487
L00128,P0283,Lindsay Morrison,2024-09-29,2027-09-20,40028
L00129,P0427,Anthony Thomas,2021-10-08,2028-08-20,34062
L00130,P0426,Ashley Warren,2022-12-14,2028-04-16,28777
L00131,P0397,Samantha Humphrey,2019-11-29,2025-03-17,42133
L00132,P0075,Ann Taylor,2021-06-17,2027-07-04,35378
L00133,P0081,Evan Hall,2023-03-13,2025-04-21,40608
L00134,P0083,Scott Martin,2024-01-06,2026-01-13,41593
L00135,P0149,Jacob Vargas,2024-03-02,2025-06-27,4165
L00136,P0147,Debra Ferrell DVM,2024-02-26,2026-06-23,28899
L00137,P0255,Chase Bates,2023-06-03,2027-02-26,47306
L00138,P0445,Mark Fox,2024-09-17,2026-04-19,35927
L00139,P0111,Thomas Ryan,2024-10-19,2025-05-02,34526
L00140,P0396,Tyrone Cox,2021-09-07,2027-04-29,39568
L00141,P0152,Brittney Gray,2023-02-08,2029-05-25,31529
L00142,P0101,Lisa Schmidt,2023-03-11,2026-02-24,20173
L00143,P0296,Catherine Monroe,2023-07-17,2026-05-02,49074
L00144,P0179,Alice Thomas,2021-06-19,2024-11-27,46679
L00145,P0389,Robert Jimenez,2020-01-09,2025-09-27,49977
